who knew

sort of

with doubt

now then

but good

no catch

straight out

most weirdly

as it were

oddly enough

weirdly enough

with distrust

hardly ever

fora fact

no mistake

no strings attached

against all odds

most freakily

most queerly

unbeknownst to me

as it happens

believe or not

rather strangely

funnily enough

strangely enough

and oddly enough

most searchingly

very rarely

very seldom

with disfavour

with misgivings

in few instances

just wondering

almost never

once in blue moon

no ifs ands or buts

with interest

kat exochin

more queerly

most quizzically

in akind of way

believe it or not

some twisted way

who would have thought

listen eagerly

most surprisingly

on the odd occasion

with a grain of salt

with a pinch of salt

with disapproval
